Class; Value; Class start; Class end;
1;298343;0.000000000000;1.725697994672;
2;60162;1.725697994672;3.451395989343;
3;49342;3.451395989343;5.177093984015;
4;42110;5.177093984015;6.902791978687;
5;37299;6.902791978687;8.628489973358;
6;33164;8.628489973358;10.354187968030;
7;30241;10.354187968030;12.079885962702;
8;26821;12.079885962702;13.805583957373;
9;24602;13.805583957373;15.531281952045;
10;22359;15.531281952045;17.256979946717;
11;20497;17.256979946717;18.982677941388;
12;19307;18.982677941388;20.708375936060;
13;17977;20.708375936060;22.434073930732;
14;16511;22.434073930732;24.159771925403;
15;15604;24.159771925403;25.885469920075;
16;14616;25.885469920075;27.611167914747;
17;13631;27.611167914747;29.336865909418;
18;12770;29.336865909418;31.062563904090;
19;12141;31.062563904090;32.788261898762;
20;11389;32.788261898762;34.513959893433;
21;11031;34.513959893433;36.239657888105;
22;10279;36.239657888105;37.965355882777;
23;10011;37.965355882776;39.691053877448;
24;9541;39.691053877448;41.416751872120;
25;9269;41.416751872120;43.142449866791;
26;8845;43.142449866791;44.868147861463;
27;8861;44.868147861463;46.593845856135;
28;8405;46.593845856135;48.319543850806;
29;8105;48.319543850806;50.045241845478;
30;7881;50.045241845478;51.770939840150;
31;7756;51.770939840150;53.496637834821;
32;7674;53.496637834821;55.222335829493;
33;7651;55.222335829493;56.948033824165;
34;7602;56.948033824165;58.673731818836;
35;7441;58.673731818836;60.399429813508;
36;7507;60.399429813508;62.125127808180;
37;7219;62.125127808180;63.850825802851;
38;10538;63.850825802851;65.576523797523;
39;7689;65.576523797523;67.302221792195;
40;7076;67.302221792195;69.027919786866;
41;6652;69.027919786866;70.753617781538;
42;6475;70.753617781538;72.479315776210;
43;6384;72.479315776210;74.205013770881;
44;6221;74.205013770881;75.930711765553;
45;6187;75.930711765553;77.656409760225;
46;6438;77.656409760225;79.382107754896;
47;6270;79.382107754896;81.107805749568;
48;6451;81.107805749568;82.833503744240;
49;6351;82.833503744240;84.559201738911;
50;6360;84.559201738911;86.284899733583;
51;7071;86.284899733583;88.010597728255;
52;7300;88.010597728255;89.736295722926;
53;23528;89.736295722926;91.461993717598;
54;7255;91.461993717598;93.187691712270;
55;6787;93.187691712270;94.913389706941;
56;5560;94.913389706941;96.639087701613;
57;4833;96.639087701613;98.364785696285;
58;4229;98.364785696285;100.090483690956;
59;3774;100.090483690956;101.816181685628;
60;3649;101.816181685628;103.541879680300;
61;3441;103.541879680300;105.267577674971;
62;3077;105.267577674971;106.993275669643;
63;2869;106.993275669643;108.718973664315;
64;2719;108.718973664315;110.444671658986;
65;2398;110.444671658986;112.170369653658;
66;2273;112.170369653658;113.896067648330;
67;2100;113.896067648330;115.621765643001;
68;2034;115.621765643001;117.347463637673;
69;1755;117.347463637673;119.073161632344;
70;1861;119.073161632344;120.798859627016;
71;1750;120.798859627016;122.524557621688;
72;1736;122.524557621688;124.250255616359;
73;1696;124.250255616359;125.975953611031;
74;1747;125.975953611031;127.701651605703;
75;5377;127.701651605703;129.427349600374;
76;2372;129.427349600374;131.153047595046;
77;2056;131.153047595046;132.878745589718;
78;1641;132.878745589718;134.604443584389;
79;1534;134.604443584389;136.330141579061;
80;1286;136.330141579061;138.055839573733;
81;1176;138.055839573733;139.781537568404;
82;1220;139.781537568404;141.507235563076;
83;1145;141.507235563076;143.232933557748;
84;1107;143.232933557748;144.958631552419;
85;1085;144.958631552419;146.684329547091;
86;1061;146.684329547091;148.410027541763;
87;1003;148.410027541763;150.135725536434;
88;930;150.135725536434;151.861423531106;
89;963;151.861423531106;153.587121525778;
90;989;153.587121525778;155.312819520449;
91;2033;155.312819520449;157.038517515121;
92;987;157.038517515121;158.764215509793;
93;872;158.764215509793;160.489913504464;
94;762;160.489913504464;162.215611499136;
95;651;162.215611499136;163.941309493808;
96;607;163.941309493808;165.667007488479;
97;595;165.667007488479;167.392705483151;
98;621;167.392705483151;169.118403477823;
99;570;169.118403477823;170.844101472494;
100;553;170.844101472494;172.569799467166;
101;530;172.569799467166;174.295497461838;
102;565;174.295497461838;176.021195456509;
103;526;176.021195456509;177.746893451181;
104;539;177.746893451181;179.472591445853;
105;1305;179.472591445853;181.198289440524;
106;588;181.198289440524;182.923987435196;
107;499;182.923987435196;184.649685429868;
108;479;184.649685429868;186.375383424539;
109;463;186.375383424539;188.101081419211;
110;397;188.101081419211;189.826779413882;
111;348;189.826779413882;191.552477408554;
112;381;191.552477408554;193.278175403226;
113;325;193.278175403226;195.003873397897;
114;343;195.003873397897;196.729571392569;
115;354;196.729571392569;198.455269387241;
116;327;198.455269387241;200.180967381912;
117;316;200.180967381912;201.906665376584;
118;781;201.906665376584;203.632363371256;
119;339;203.632363371256;205.358061365927;
120;354;205.358061365927;207.083759360599;
121;285;207.083759360599;208.809457355271;
122;300;208.809457355271;210.535155349942;
123;255;210.535155349942;212.260853344614;
124;239;212.260853344614;213.986551339286;
125;221;213.986551339286;215.712249333957;
126;238;215.712249333957;217.437947328629;
127;216;217.437947328629;219.163645323301;
128;262;219.163645323301;220.889343317972;
129;414;220.889343317972;222.615041312644;
130;200;222.615041312644;224.340739307316;
131;206;224.340739307316;226.066437301987;
132;235;226.066437301987;227.792135296659;
133;197;227.792135296659;229.517833291331;
134;188;229.517833291331;231.243531286002;
135;185;231.243531286002;232.969229280674;
136;210;232.969229280674;234.694927275346;
137;178;234.694927275346;236.420625270017;
138;181;236.420625270017;238.146323264689;
139;419;238.146323264689;239.872021259361;
140;175;239.872021259361;241.597719254032;
141;147;241.597719254032;243.323417248704;
142;191;243.323417248704;245.049115243376;
143;189;245.049115243376;246.774813238047;
144;175;246.774813238047;248.500511232719;
145;126;248.500511232719;250.226209227391;
146;105;250.226209227391;251.951907222062;
147;124;251.951907222062;253.677605216734;
148;136;253.677605216734;255.403303211406;
149;266;255.403303211406;257.129001206077;
150;114;257.129001206077;258.854699200749;
151;144;258.854699200749;260.580397195421;
152;124;260.580397195421;262.306095190092;
153;112;262.306095190092;264.031793184764;
154;120;264.031793184764;265.757491179435;
155;132;265.757491179435;267.483189174107;
156;95;267.483189174107;269.208887168779;
157;110;269.208887168779;270.934585163450;
158;255;270.934585163450;272.660283158122;
159;92;272.660283158122;274.385981152794;
160;102;274.385981152794;276.111679147465;
161;65;276.111679147465;277.837377142137;
162;111;277.837377142137;279.563075136809;
163;87;279.563075136809;281.288773131480;
164;94;281.288773131480;283.014471126152;
165;99;283.014471126152;284.740169120824;
166;226;284.740169120824;286.465867115495;
167;81;286.465867115495;288.191565110167;
168;78;288.191565110167;289.917263104839;
169;83;289.917263104839;291.642961099510;
170;54;291.642961099510;293.368659094182;
171;61;293.368659094182;295.094357088854;
172;64;295.094357088854;296.820055083525;
173;66;296.820055083525;298.545753078197;
174;173;298.545753078197;300.271451072869;
175;57;300.271451072869;301.997149067540;
176;60;301.997149067540;303.722847062212;
177;63;303.722847062212;305.448545056884;
178;59;305.448545056884;307.174243051555;
179;47;307.174243051555;308.899941046227;
180;70;308.899941046227;310.625639040899;
181;67;310.625639040899;312.351337035570;
182;107;312.351337035570;314.077035030242;
183;51;314.077035030242;315.802733024914;
184;68;315.802733024914;317.528431019585;
185;67;317.528431019585;319.254129014257;
186;72;319.254129014257;320.979827008929;
187;69;320.979827008929;322.705525003600;
188;72;322.705525003600;324.431222998272;
189;74;324.431222998272;326.156920992944;
190;183;326.156920992944;327.882618987615;
191;52;327.882618987615;329.608316982287;
192;58;329.608316982287;331.334014976959;
193;61;331.334014976959;333.059712971630;
194;43;333.059712971630;334.785410966302;
195;35;334.785410966302;336.511108960974;
196;29;336.511108960974;338.236806955645;
197;35;338.236806955645;339.962504950317;
