Class; Value; Class start; Class end;
1;1;-1739.021118164063;-1735.692635728687;
2;0;-1735.692635728687;-1732.364153293311;
3;0;-1732.364153293311;-1729.035670857935;
4;0;-1729.035670857935;-1725.707188422559;
5;0;-1725.707188422559;-1722.378705987183;
6;0;-1722.378705987183;-1719.050223551807;
7;0;-1719.050223551807;-1715.721741116431;
8;0;-1715.721741116432;-1712.393258681056;
9;0;-1712.393258681056;-1709.064776245680;
10;0;-1709.064776245680;-1705.736293810304;
11;0;-1705.736293810304;-1702.407811374928;
12;0;-1702.407811374928;-1699.079328939552;
13;0;-1699.079328939552;-1695.750846504176;
14;0;-1695.750846504176;-1692.422364068800;
15;0;-1692.422364068800;-1689.093881633424;
16;1;-1689.093881633425;-1685.765399198049;
17;0;-1685.765399198049;-1682.436916762673;
18;0;-1682.436916762673;-1679.108434327297;
19;0;-1679.108434327297;-1675.779951891921;
20;0;-1675.779951891921;-1672.451469456545;
21;0;-1672.451469456545;-1669.122987021169;
22;0;-1669.122987021169;-1665.794504585793;
23;1;-1665.794504585793;-1662.466022150418;
24;0;-1662.466022150418;-1659.137539715042;
25;0;-1659.137539715042;-1655.809057279666;
26;0;-1655.809057279666;-1652.480574844290;
27;0;-1652.480574844290;-1649.152092408914;
28;1;-1649.152092408914;-1645.823609973538;
29;0;-1645.823609973538;-1642.495127538162;
30;1;-1642.495127538162;-1639.166645102787;
31;0;-1639.166645102787;-1635.838162667411;
32;0;-1635.838162667411;-1632.509680232035;
33;0;-1632.509680232035;-1629.181197796659;
34;0;-1629.181197796659;-1625.852715361283;
35;0;-1625.852715361283;-1622.524232925907;
36;0;-1622.524232925907;-1619.195750490531;
37;0;-1619.195750490531;-1615.867268055155;
38;0;-1615.867268055156;-1612.538785619780;
39;0;-1612.538785619780;-1609.210303184404;
40;2;-1609.210303184404;-1605.881820749028;
41;0;-1605.881820749028;-1602.553338313652;
42;0;-1602.553338313652;-1599.224855878276;
43;0;-1599.224855878276;-1595.896373442900;
44;0;-1595.896373442900;-1592.567891007524;
45;1;-1592.567891007524;-1589.239408572148;
46;0;-1589.239408572149;-1585.910926136773;
47;0;-1585.910926136773;-1582.582443701397;
48;0;-1582.582443701397;-1579.253961266021;
49;0;-1579.253961266021;-1575.925478830645;
50;1;-1575.925478830645;-1572.596996395269;
51;0;-1572.596996395269;-1569.268513959893;
52;0;-1569.268513959893;-1565.940031524518;
53;0;-1565.940031524518;-1562.611549089142;
54;2;-1562.611549089142;-1559.283066653766;
55;0;-1559.283066653766;-1555.954584218390;
56;0;-1555.954584218390;-1552.626101783014;
57;0;-1552.626101783014;-1549.297619347638;
58;0;-1549.297619347638;-1545.969136912262;
59;1;-1545.969136912262;-1542.640654476887;
60;0;-1542.640654476887;-1539.312172041511;
61;0;-1539.312172041511;-1535.983689606135;
62;0;-1535.983689606135;-1532.655207170759;
63;0;-1532.655207170759;-1529.326724735383;
64;0;-1529.326724735383;-1525.998242300007;
65;1;-1525.998242300007;-1522.669759864631;
66;0;-1522.669759864631;-1519.341277429255;
67;0;-1519.341277429256;-1516.012794993880;
68;1;-1516.012794993880;-1512.684312558504;
69;0;-1512.684312558504;-1509.355830123128;
70;1;-1509.355830123128;-1506.027347687752;
71;0;-1506.027347687752;-1502.698865252376;
72;1;-1502.698865252376;-1499.370382817000;
73;0;-1499.370382817000;-1496.041900381624;
74;0;-1496.041900381624;-1492.713417946248;
75;0;-1492.713417946249;-1489.384935510873;
76;1;-1489.384935510873;-1486.056453075497;
77;0;-1486.056453075497;-1482.727970640121;
78;0;-1482.727970640121;-1479.399488204745;
79;1;-1479.399488204745;-1476.071005769369;
80;0;-1476.071005769369;-1472.742523333993;
81;0;-1472.742523333993;-1469.414040898617;
82;0;-1469.414040898617;-1466.085558463242;
83;1;-1466.085558463242;-1462.757076027866;
84;0;-1462.757076027866;-1459.428593592490;
85;0;-1459.428593592490;-1456.100111157114;
86;0;-1456.100111157114;-1452.771628721738;
87;1;-1452.771628721738;-1449.443146286362;
88;0;-1449.443146286362;-1446.114663850986;
89;0;-1446.114663850987;-1442.786181415611;
90;0;-1442.786181415611;-1439.457698980235;
91;0;-1439.457698980235;-1436.129216544859;
92;0;-1436.129216544859;-1432.800734109483;
93;0;-1432.800734109483;-1429.472251674107;
94;1;-1429.472251674107;-1426.143769238731;
95;1;-1426.143769238731;-1422.815286803355;
96;0;-1422.815286803355;-1419.486804367979;
97;1;-1419.486804367980;-1416.158321932604;
98;0;-1416.158321932604;-1412.829839497228;
99;1;-1412.829839497228;-1409.501357061852;
100;0;-1409.501357061852;-1406.172874626476;
101;0;-1406.172874626476;-1402.844392191100;
102;0;-1402.844392191100;-1399.515909755724;
103;0;-1399.515909755724;-1396.187427320348;
104;0;-1396.187427320348;-1392.858944884973;
105;0;-1392.858944884973;-1389.530462449597;
106;0;-1389.530462449597;-1386.201980014221;
107;0;-1386.201980014221;-1382.873497578845;
108;0;-1382.873497578845;-1379.545015143469;
109;0;-1379.545015143469;-1376.216532708093;
110;1;-1376.216532708093;-1372.888050272717;
111;0;-1372.888050272717;-1369.559567837342;
112;0;-1369.559567837342;-1366.231085401966;
113;1;-1366.231085401966;-1362.902602966590;
114;0;-1362.902602966590;-1359.574120531214;
115;0;-1359.574120531214;-1356.245638095838;
116;0;-1356.245638095838;-1352.917155660462;
117;0;-1352.917155660462;-1349.588673225086;
118;0;-1349.588673225086;-1346.260190789711;
119;0;-1346.260190789711;-1342.931708354335;
120;0;-1342.931708354335;-1339.603225918959;
121;0;-1339.603225918959;-1336.274743483583;
122;0;-1336.274743483583;-1332.946261048207;
123;1;-1332.946261048207;-1329.617778612831;
124;0;-1329.617778612831;-1326.289296177455;
125;0;-1326.289296177455;-1322.960813742079;
126;1;-1322.960813742080;-1319.632331306704;
127;0;-1319.632331306704;-1316.303848871328;
128;0;-1316.303848871328;-1312.975366435952;
129;0;-1312.975366435952;-1309.646884000576;
130;0;-1309.646884000576;-1306.318401565200;
131;0;-1306.318401565200;-1302.989919129824;
132;0;-1302.989919129824;-1299.661436694448;
133;0;-1299.661436694448;-1296.332954259072;
134;0;-1296.332954259073;-1293.004471823697;
135;0;-1293.004471823697;-1289.675989388321;
136;0;-1289.675989388321;-1286.347506952945;
137;0;-1286.347506952945;-1283.019024517569;
138;0;-1283.019024517569;-1279.690542082193;
139;0;-1279.690542082193;-1276.362059646817;
140;0;-1276.362059646817;-1273.033577211442;
141;0;-1273.033577211442;-1269.705094776066;
142;0;-1269.705094776066;-1266.376612340690;
143;0;-1266.376612340690;-1263.048129905314;
144;0;-1263.048129905314;-1259.719647469938;
145;0;-1259.719647469938;-1256.391165034562;
146;0;-1256.391165034562;-1253.062682599186;
147;0;-1253.062682599186;-1249.734200163810;
148;0;-1249.734200163811;-1246.405717728435;
149;0;-1246.405717728435;-1243.077235293059;
150;0;-1243.077235293059;-1239.748752857683;
151;0;-1239.748752857683;-1236.420270422307;
152;0;-1236.420270422307;-1233.091787986931;
153;0;-1233.091787986931;-1229.763305551555;
154;0;-1229.763305551555;-1226.434823116179;
155;0;-1226.434823116179;-1223.106340680803;
156;0;-1223.106340680803;-1219.777858245428;
157;0;-1219.777858245428;-1216.449375810052;
158;0;-1216.449375810052;-1213.120893374676;
159;0;-1213.120893374676;-1209.792410939300;
160;0;-1209.792410939300;-1206.463928503924;
161;0;-1206.463928503924;-1203.135446068548;
162;0;-1203.135446068548;-1199.806963633172;
163;0;-1199.806963633172;-1196.478481197797;
164;0;-1196.478481197797;-1193.149998762421;
165;0;-1193.149998762421;-1189.821516327045;
166;0;-1189.821516327045;-1186.493033891669;
167;0;-1186.493033891669;-1183.164551456293;
168;0;-1183.164551456293;-1179.836069020917;
169;0;-1179.836069020917;-1176.507586585542;
170;0;-1176.507586585542;-1173.179104150166;
171;0;-1173.179104150166;-1169.850621714790;
172;0;-1169.850621714790;-1166.522139279414;
173;0;-1166.522139279414;-1163.193656844038;
174;0;-1163.193656844038;-1159.865174408662;
175;0;-1159.865174408662;-1156.536691973286;
176;0;-1156.536691973286;-1153.208209537911;
177;0;-1153.208209537911;-1149.879727102535;
178;0;-1149.879727102535;-1146.551244667159;
179;0;-1146.551244667159;-1143.222762231783;
180;0;-1143.222762231783;-1139.894279796407;
181;0;-1139.894279796407;-1136.565797361031;
182;0;-1136.565797361031;-1133.237314925655;
183;0;-1133.237314925655;-1129.908832490279;
184;0;-1129.908832490279;-1126.580350054903;
185;0;-1126.580350054904;-1123.251867619528;
186;0;-1123.251867619528;-1119.923385184152;
187;0;-1119.923385184152;-1116.594902748776;
188;0;-1116.594902748776;-1113.266420313400;
189;0;-1113.266420313400;-1109.937937878024;
190;0;-1109.937937878024;-1106.609455442648;
191;0;-1106.609455442648;-1103.280973007272;
192;0;-1103.280973007272;-1099.952490571897;
193;0;-1099.952490571897;-1096.624008136521;
194;0;-1096.624008136521;-1093.295525701145;
195;0;-1093.295525701145;-1089.967043265769;
196;0;-1089.967043265769;-1086.638560830393;
197;0;-1086.638560830393;-1083.310078395017;
198;0;-1083.310078395017;-1079.981595959641;
199;0;-1079.981595959641;-1076.653113524266;
200;0;-1076.653113524266;-1073.324631088890;
201;0;-1073.324631088890;-1069.996148653514;
202;0;-1069.996148653514;-1066.667666218138;
203;0;-1066.667666218138;-1063.339183782762;
204;0;-1063.339183782762;-1060.010701347386;
205;0;-1060.010701347386;-1056.682218912010;
206;0;-1056.682218912010;-1053.353736476634;
207;0;-1053.353736476634;-1050.025254041258;
208;0;-1050.025254041259;-1046.696771605883;
209;0;-1046.696771605883;-1043.368289170507;
210;0;-1043.368289170507;-1040.039806735131;
211;0;-1040.039806735131;-1036.711324299755;
212;0;-1036.711324299755;-1033.382841864379;
213;0;-1033.382841864379;-1030.054359429003;
214;0;-1030.054359429003;-1026.725876993627;
215;0;-1026.725876993627;-1023.397394558252;
216;0;-1023.397394558252;-1020.068912122876;
217;0;-1020.068912122876;-1016.740429687500;
218;0;-1016.740429687500;-1013.411947252124;
219;0;-1013.411947252124;-1010.083464816748;
220;0;-1010.083464816748;-1006.754982381372;
221;0;-1006.754982381372;-1003.426499945997;
222;0;-1003.426499945997;-1000.098017510621;
223;0;-1000.098017510621;-996.769535075245;
224;0;-996.769535075245;-993.441052639869;
225;0;-993.441052639869;-990.112570204493;
226;0;-990.112570204493;-986.784087769117;
227;0;-986.784087769117;-983.455605333741;
228;0;-983.455605333741;-980.127122898365;
229;0;-980.127122898366;-976.798640462990;
230;0;-976.798640462990;-973.470158027614;
231;0;-973.470158027614;-970.141675592238;
232;0;-970.141675592238;-966.813193156862;
233;0;-966.813193156862;-963.484710721486;
234;0;-963.484710721486;-960.156228286110;
235;0;-960.156228286110;-956.827745850734;
236;0;-956.827745850734;-953.499263415359;
237;0;-953.499263415359;-950.170780979983;
238;0;-950.170780979983;-946.842298544607;
239;0;-946.842298544607;-943.513816109231;
240;0;-943.513816109231;-940.185333673855;
241;0;-940.185333673855;-936.856851238479;
242;0;-936.856851238479;-933.528368803103;
243;0;-933.528368803103;-930.199886367727;
244;0;-930.199886367728;-926.871403932352;
245;0;-926.871403932352;-923.542921496976;
246;0;-923.542921496976;-920.214439061600;
247;0;-920.214439061600;-916.885956626224;
248;0;-916.885956626224;-913.557474190848;
249;0;-913.557474190848;-910.228991755472;
250;0;-910.228991755472;-906.900509320096;
251;0;-906.900509320096;-903.572026884721;
252;0;-903.572026884721;-900.243544449345;
253;0;-900.243544449345;-896.915062013969;
254;0;-896.915062013969;-893.586579578593;
255;0;-893.586579578593;-890.258097143217;
256;0;-890.258097143217;-886.929614707841;
257;0;-886.929614707841;-883.601132272465;
258;0;-883.601132272465;-880.272649837089;
259;0;-880.272649837090;-876.944167401714;
260;0;-876.944167401714;-873.615684966338;
261;0;-873.615684966338;-870.287202530962;
262;0;-870.287202530962;-866.958720095586;
263;0;-866.958720095586;-863.630237660210;
264;0;-863.630237660210;-860.301755224834;
265;1;-860.301755224834;-856.973272789459;
266;0;-856.973272789459;-853.644790354083;
267;0;-853.644790354083;-850.316307918707;
268;0;-850.316307918707;-846.987825483331;
269;0;-846.987825483331;-843.659343047955;
270;0;-843.659343047955;-840.330860612579;
271;0;-840.330860612579;-837.002378177203;
272;2;-837.002378177203;-833.673895741827;
273;0;-833.673895741828;-830.345413306452;
274;0;-830.345413306452;-827.016930871076;
275;2;-827.016930871076;-823.688448435700;
276;0;-823.688448435700;-820.359966000324;
277;0;-820.359966000324;-817.031483564948;
278;0;-817.031483564948;-813.703001129572;
279;0;-813.703001129572;-810.374518694196;
280;0;-810.374518694196;-807.046036258821;
281;1;-807.046036258821;-803.717553823445;
282;0;-803.717553823445;-800.389071388069;
283;0;-800.389071388069;-797.060588952693;
284;0;-797.060588952693;-793.732106517317;
285;0;-793.732106517317;-790.403624081941;
286;1;-790.403624081941;-787.075141646565;
287;1;-787.075141646565;-783.746659211189;
288;1;-783.746659211190;-780.418176775814;
289;0;-780.418176775814;-777.089694340438;
290;0;-777.089694340438;-773.761211905062;
291;3;-773.761211905062;-770.432729469686;
292;0;-770.432729469686;-767.104247034310;
293;0;-767.104247034310;-763.775764598934;
294;0;-763.775764598934;-760.447282163558;
295;2;-760.447282163558;-757.118799728183;
296;0;-757.118799728183;-753.790317292807;
297;1;-753.790317292807;-750.461834857431;
298;0;-750.461834857431;-747.133352422055;
299;3;-747.133352422055;-743.804869986679;
300;3;-743.804869986679;-740.476387551303;
301;0;-740.476387551303;-737.147905115927;
302;0;-737.147905115927;-733.819422680551;
303;0;-733.819422680552;-730.490940245176;
304;1;-730.490940245176;-727.162457809800;
305;1;-727.162457809800;-723.833975374424;
306;0;-723.833975374424;-720.505492939048;
307;2;-720.505492939048;-717.177010503672;
308;2;-717.177010503672;-713.848528068296;
309;0;-713.848528068296;-710.520045632921;
310;1;-710.520045632921;-707.191563197545;
311;2;-707.191563197545;-703.863080762169;
312;2;-703.863080762169;-700.534598326793;
313;1;-700.534598326793;-697.206115891417;
314;2;-697.206115891417;-693.877633456041;
315;1;-693.877633456041;-690.549151020665;
316;4;-690.549151020665;-687.220668585289;
317;2;-687.220668585290;-683.892186149914;
318;5;-683.892186149914;-680.563703714538;
319;5;-680.563703714538;-677.235221279162;
320;6;-677.235221279162;-673.906738843786;
321;6;-673.906738843786;-670.578256408410;
322;6;-670.578256408410;-667.249773973034;
323;6;-667.249773973034;-663.921291537658;
324;9;-663.921291537658;-660.592809102282;
325;8;-660.592809102283;-657.264326666907;
326;20;-657.264326666907;-653.935844231531;
327;16;-653.935844231531;-650.607361796155;
328;4;-650.607361796155;-647.278879360779;
329;10;-647.278879360779;-643.950396925403;
330;7;-643.950396925403;-640.621914490027;
331;11;-640.621914490027;-637.293432054651;
332;10;-637.293432054651;-633.964949619276;
333;13;-633.964949619276;-630.636467183900;
334;8;-630.636467183900;-627.307984748524;
335;11;-627.307984748524;-623.979502313148;
336;9;-623.979502313148;-620.651019877772;
337;14;-620.651019877772;-617.322537442396;
338;15;-617.322537442396;-613.994055007021;
339;11;-613.994055007021;-610.665572571645;
340;14;-610.665572571645;-607.337090136269;
341;17;-607.337090136269;-604.008607700893;
342;23;-604.008607700893;-600.680125265517;
343;34;-600.680125265517;-597.351642830141;
344;16;-597.351642830141;-594.023160394765;
345;26;-594.023160394765;-590.694677959389;
346;22;-590.694677959390;-587.366195524014;
347;21;-587.366195524014;-584.037713088638;
348;32;-584.037713088638;-580.709230653262;
349;37;-580.709230653262;-577.380748217886;
350;38;-577.380748217886;-574.052265782510;
351;29;-574.052265782510;-570.723783347134;
352;44;-570.723783347134;-567.395300911758;
353;41;-567.395300911758;-564.066818476382;
354;27;-564.066818476382;-560.738336041007;
355;36;-560.738336041007;-557.409853605631;
356;17;-557.409853605631;-554.081371170255;
357;30;-554.081371170255;-550.752888734879;
358;27;-550.752888734879;-547.424406299503;
359;19;-547.424406299503;-544.095923864127;
360;19;-544.095923864127;-540.767441428751;
361;19;-540.767441428751;-537.438958993376;
362;17;-537.438958993376;-534.110476558000;
363;33;-534.110476558000;-530.781994122624;
364;23;-530.781994122624;-527.453511687248;
365;26;-527.453511687248;-524.125029251872;
366;18;-524.125029251872;-520.796546816496;
367;19;-520.796546816496;-517.468064381120;
368;14;-517.468064381120;-514.139581945745;
369;25;-514.139581945745;-510.811099510369;
370;21;-510.811099510369;-507.482617074993;
371;22;-507.482617074993;-504.154134639617;
372;11;-504.154134639617;-500.825652204241;
373;20;-500.825652204241;-497.497169768865;
374;32;-497.497169768865;-494.168687333489;
375;28;-494.168687333489;-490.840204898113;
376;22;-490.840204898114;-487.511722462738;
377;15;-487.511722462738;-484.183240027362;
378;19;-484.183240027362;-480.854757591986;
379;33;-480.854757591986;-477.526275156610;
380;36;-477.526275156610;-474.197792721234;
381;41;-474.197792721234;-470.869310285858;
382;27;-470.869310285858;-467.540827850482;
383;27;-467.540827850482;-464.212345415107;
384;42;-464.212345415107;-460.883862979731;
385;31;-460.883862979731;-457.555380544355;
386;37;-457.555380544355;-454.226898108979;
387;46;-454.226898108979;-450.898415673603;
388;44;-450.898415673603;-447.569933238227;
389;53;-447.569933238227;-444.241450802851;
390;51;-444.241450802851;-440.912968367476;
391;56;-440.912968367476;-437.584485932100;
392;32;-437.584485932100;-434.256003496724;
393;27;-434.256003496724;-430.927521061348;
394;24;-430.927521061348;-427.599038625972;
395;29;-427.599038625972;-424.270556190596;
396;30;-424.270556190596;-420.942073755220;
397;26;-420.942073755220;-417.613591319845;
398;43;-417.613591319845;-414.285108884469;
399;35;-414.285108884469;-410.956626449093;
400;36;-410.956626449093;-407.628144013717;
401;87;-407.628144013717;-404.299661578341;
402;48;-404.299661578341;-400.971179142965;
403;45;-400.971179142965;-397.642696707589;
404;57;-397.642696707589;-394.314214272213;
405;52;-394.314214272213;-390.985731836837;
406;48;-390.985731836838;-387.657249401462;
407;46;-387.657249401462;-384.328766966086;
408;67;-384.328766966086;-381.000284530710;
409;40;-381.000284530710;-377.671802095334;
410;35;-377.671802095334;-374.343319659958;
411;59;-374.343319659958;-371.014837224582;
412;67;-371.014837224582;-367.686354789207;
413;47;-367.686354789206;-364.357872353831;
414;65;-364.357872353831;-361.029389918455;
415;49;-361.029389918455;-357.700907483079;
416;59;-357.700907483079;-354.372425047703;
417;81;-354.372425047703;-351.043942612327;
418;79;-351.043942612327;-347.715460176951;
419;61;-347.715460176951;-344.386977741576;
420;77;-344.386977741575;-341.058495306200;
421;55;-341.058495306200;-337.730012870824;
422;47;-337.730012870824;-334.401530435448;
423;60;-334.401530435448;-331.073048000072;
424;55;-331.073048000072;-327.744565564696;
425;116;-327.744565564696;-324.416083129320;
426;91;-324.416083129320;-321.087600693944;
427;78;-321.087600693945;-317.759118258569;
428;81;-317.759118258569;-314.430635823193;
429;106;-314.430635823193;-311.102153387817;
430;80;-311.102153387817;-307.773670952441;
431;62;-307.773670952441;-304.445188517065;
432;69;-304.445188517065;-301.116706081689;
433;92;-301.116706081689;-297.788223646313;
434;82;-297.788223646313;-294.459741210937;
435;75;-294.459741210938;-291.131258775562;
436;80;-291.131258775562;-287.802776340186;
437;149;-287.802776340186;-284.474293904810;
438;101;-284.474293904810;-281.145811469434;
439;111;-281.145811469434;-277.817329034058;
440;85;-277.817329034058;-274.488846598682;
441;115;-274.488846598682;-271.160364163306;
442;120;-271.160364163306;-267.831881727931;
443;129;-267.831881727931;-264.503399292555;
444;107;-264.503399292555;-261.174916857179;
445;114;-261.174916857179;-257.846434421803;
446;141;-257.846434421803;-254.517951986427;
447;125;-254.517951986427;-251.189469551051;
448;107;-251.189469551051;-247.860987115676;
449;143;-247.860987115675;-244.532504680300;
450;153;-244.532504680300;-241.204022244924;
451;187;-241.204022244924;-237.875539809548;
452;186;-237.875539809548;-234.547057374172;
453;168;-234.547057374172;-231.218574938796;
454;171;-231.218574938796;-227.890092503420;
455;157;-227.890092503420;-224.561610068044;
456;234;-224.561610068045;-221.233127632669;
