Class; Value; Class start; Class end;
1;1;-4299.108886718750;-4296.570825579614;
2;0;-4296.570825579614;-4294.032764440479;
3;0;-4294.032764440480;-4291.494703301344;
4;0;-4291.494703301344;-4288.956642162208;
5;0;-4288.956642162208;-4286.418581023073;
6;0;-4286.418581023073;-4283.880519883937;
7;0;-4283.880519883938;-4281.342458744803;
8;0;-4281.342458744803;-4278.804397605667;
9;0;-4278.804397605667;-4276.266336466531;
10;0;-4276.266336466531;-4273.728275327396;
11;0;-4273.728275327397;-4271.190214188261;
12;0;-4271.190214188261;-4268.652153049125;
13;0;-4268.652153049125;-4266.114091909990;
14;0;-4266.114091909991;-4263.576030770855;
15;0;-4263.576030770855;-4261.037969631720;
16;0;-4261.037969631720;-4258.499908492584;
17;0;-4258.499908492584;-4255.961847353448;
18;0;-4255.961847353449;-4253.423786214314;
19;0;-4253.423786214314;-4250.885725075178;
20;0;-4250.885725075178;-4248.347663936042;
21;1;-4248.347663936042;-4245.809602796907;
22;0;-4245.809602796908;-4243.271541657772;
23;0;-4243.271541657772;-4240.733480518636;
24;0;-4240.733480518636;-4238.195419379501;
25;0;-4238.195419379502;-4235.657358240366;
26;0;-4235.657358240366;-4233.119297101231;
27;0;-4233.119297101231;-4230.581235962095;
28;0;-4230.581235962095;-4228.043174822959;
29;0;-4228.043174822960;-4225.505113683825;
30;0;-4225.505113683825;-4222.967052544689;
31;0;-4222.967052544689;-4220.428991405553;
32;0;-4220.428991405553;-4217.890930266418;
33;0;-4217.890930266419;-4215.352869127283;
34;0;-4215.352869127283;-4212.814807988148;
35;0;-4212.814807988148;-4210.276746849012;
36;0;-4210.276746849013;-4207.738685709877;
37;0;-4207.738685709877;-4205.200624570742;
38;0;-4205.200624570742;-4202.662563431606;
39;0;-4202.662563431606;-4200.124502292470;
40;1;-4200.124502292471;-4197.586441153336;
41;0;-4197.586441153336;-4195.048380014200;
42;0;-4195.048380014200;-4192.510318875065;
43;0;-4192.510318875065;-4189.972257735930;
44;0;-4189.972257735930;-4187.434196596794;
45;1;-4187.434196596794;-4184.896135457659;
46;0;-4184.896135457659;-4182.358074318523;
47;0;-4182.358074318524;-4179.820013179388;
48;0;-4179.820013179388;-4177.281952040253;
49;0;-4177.281952040253;-4174.743890901117;
50;0;-4174.743890901117;-4172.205829761981;
51;0;-4172.205829761982;-4169.667768622847;
52;0;-4169.667768622847;-4167.129707483711;
53;0;-4167.129707483711;-4164.591646344576;
54;0;-4164.591646344576;-4162.053585205441;
55;0;-4162.053585205441;-4159.515524066305;
56;0;-4159.515524066305;-4156.977462927170;
57;0;-4156.977462927170;-4154.439401788034;
58;0;-4154.439401788035;-4151.901340648899;
59;0;-4151.901340648899;-4149.363279509764;
60;0;-4149.363279509764;-4146.825218370628;
61;0;-4146.825218370628;-4144.287157231493;
62;0;-4144.287157231493;-4141.749096092358;
63;0;-4141.749096092358;-4139.211034953222;
64;0;-4139.211034953222;-4136.672973814087;
65;0;-4136.672973814088;-4134.134912674952;
