Class; Value; Class start; Class end;
1;210610;0.000000000000;1.276836616192;
2;221409;1.276836616192;2.553673232384;
3;202952;2.553673232384;3.830509848576;
4;170655;3.830509848576;5.107346464768;
5;155276;5.107346464768;6.384183080960;
6;132121;6.384183080960;7.661019697153;
7;124304;7.661019697153;8.937856313345;
8;113459;8.937856313345;10.214692929537;
9;107590;10.214692929537;11.491529545729;
10;106102;11.491529545729;12.768366161921;
11;95149;12.768366161921;14.045202778113;
12;93744;14.045202778113;15.322039394305;
13;87561;15.322039394305;16.598876010497;
14;88312;16.598876010497;17.875712626689;
15;81587;17.875712626689;19.152549242881;
16;78187;19.152549242881;20.429385859073;
17;78005;20.429385859073;21.706222475265;
18;74282;21.706222475265;22.983059091458;
19;75944;22.983059091458;24.259895707650;
20;70138;24.259895707650;25.536732323842;
21;69324;25.536732323842;26.813568940034;
22;66612;26.813568940034;28.090405556226;
23;65520;28.090405556226;29.367242172418;
24;67178;29.367242172418;30.644078788610;
25;62700;30.644078788610;31.920915404802;
26;62477;31.920915404802;33.197752020994;
27;61501;33.197752020994;34.474588637186;
28;63161;34.474588637186;35.751425253378;
29;60101;35.751425253378;37.028261869570;
30;60020;37.028261869570;38.305098485763;
31;60431;38.305098485763;39.581935101955;
32;59494;39.581935101955;40.858771718147;
33;61078;40.858771718147;42.135608334339;
34;59572;42.135608334339;43.412444950531;
35;60082;43.412444950531;44.689281566723;
36;59789;44.689281566723;45.966118182915;
37;59325;45.966118182915;47.242954799107;
38;62609;47.242954799107;48.519791415299;
39;61481;48.519791415299;49.796628031491;
40;62805;49.796628031491;51.073464647683;
41;63501;51.073464647683;52.350301263875;
42;65398;52.350301263875;53.627137880068;
43;65456;53.627137880068;54.903974496260;
44;67104;54.903974496260;56.180811112452;
45;69038;56.180811112452;57.457647728644;
46;70598;57.457647728644;58.734484344836;
47;73743;58.734484344836;60.011320961028;
48;75310;60.011320961028;61.288157577220;
49;76844;61.288157577220;62.564994193412;
50;78509;62.564994193412;63.841830809604;
51;82955;63.841830809604;65.118667425796;
52;84925;65.118667425796;66.395504041988;
53;86324;66.395504041988;67.672340658181;
54;87398;67.672340658181;68.949177274373;
55;89049;68.949177274373;70.226013890565;
56;92421;70.226013890565;71.502850506757;
57;93164;71.502850506757;72.779687122949;
58;94155;72.779687122949;74.056523739141;
59;96531;74.056523739141;75.333360355333;
60;97242;75.333360355333;76.610196971525;
61;98438;76.610196971525;77.887033587717;
62;99871;77.887033587717;79.163870203909;
63;100060;79.163870203909;80.440706820101;
64;101723;80.440706820101;81.717543436293;
65;102956;81.717543436293;82.994380052486;
66;105401;82.994380052486;84.271216668678;
67;106295;84.271216668678;85.548053284870;
68;106047;85.548053284870;86.824889901062;
69;107314;86.824889901062;88.101726517254;
70;110406;88.101726517254;89.378563133446;
71;113786;89.378563133446;90.655399749638;
72;112050;90.655399749638;91.932236365830;
73;107555;91.932236365830;93.209072982022;
74;100335;93.209072982022;94.485909598214;
75;94873;94.485909598214;95.762746214406;
76;89053;95.762746214406;97.039582830598;
77;84151;97.039582830598;98.316419446791;
78;78838;98.316419446791;99.593256062983;
79;74798;99.593256062983;100.870092679175;
80;71559;100.870092679175;102.146929295367;
81;68047;102.146929295367;103.423765911559;
82;65456;103.423765911559;104.700602527751;
83;61598;104.700602527751;105.977439143943;
84;59310;105.977439143943;107.254275760135;
85;55918;107.254275760135;108.531112376327;
86;54315;108.531112376327;109.807948992519;
87;52378;109.807948992519;111.084785608711;
88;49336;111.084785608711;112.361622224903;
89;47014;112.361622224903;113.638458841096;
90;45340;113.638458841096;114.915295457288;
91;43458;114.915295457288;116.192132073480;
92;41258;116.192132073480;117.468968689672;
93;39570;117.468968689672;118.745805305864;
94;38080;118.745805305864;120.022641922056;
95;35836;120.022641922056;121.299478538248;
96;34389;121.299478538248;122.576315154440;
97;32902;122.576315154440;123.853151770632;
98;33602;123.853151770632;125.129988386824;
99;32750;125.129988386824;126.406825003016;
100;31987;126.406825003016;127.683661619208;
101;69793;127.683661619208;128.960498235401;
102;44138;128.960498235401;130.237334851593;
103;39104;130.237334851593;131.514171467785;
104;35804;131.514171467785;132.791008083977;
105;33937;132.791008083977;134.067844700169;
106;32045;134.067844700169;135.344681316361;
107;31888;135.344681316361;136.621517932553;
108;31795;136.621517932553;137.898354548745;
109;30722;137.898354548745;139.175191164937;
110;30391;139.175191164937;140.452027781129;
111;30711;140.452027781129;141.728864397321;
112;31241;141.728864397321;143.005701013514;
113;31908;143.005701013514;144.282537629706;
114;31839;144.282537629706;145.559374245898;
115;32215;145.559374245898;146.836210862090;
116;32443;146.836210862090;148.113047478282;
117;32277;148.113047478282;149.389884094474;
118;32604;149.389884094474;150.666720710666;
119;32890;150.666720710666;151.943557326858;
120;32846;151.943557326858;153.220393943050;
121;32836;153.220393943050;154.497230559242;
122;33549;154.497230559242;155.774067175434;
123;33247;155.774067175434;157.050903791626;
124;33271;157.050903791626;158.327740407819;
125;31137;158.327740407819;159.604577024011;
126;29807;159.604577024011;160.881413640203;
127;28163;160.881413640203;162.158250256395;
128;27193;162.158250256395;163.435086872587;
129;26123;163.435086872587;164.711923488779;
130;24606;164.711923488779;165.988760104971;
131;24049;165.988760104971;167.265596721163;
132;23360;167.265596721163;168.542433337355;
133;22519;168.542433337355;169.819269953547;
134;22218;169.819269953547;171.096106569739;
135;21576;171.096106569739;172.372943185931;
136;21295;172.372943185931;173.649779802124;
137;21002;173.649779802124;174.926616418316;
138;20623;174.926616418316;176.203453034508;
139;20663;176.203453034508;177.480289650700;
140;20770;177.480289650700;178.757126266892;
141;20806;178.757126266892;180.033962883084;
142;23321;180.033962883084;181.310799499276;
143;22512;181.310799499276;182.587636115468;
144;20360;182.587636115468;183.864472731660;
145;19727;183.864472731660;185.141309347852;
146;18781;185.141309347852;186.418145964044;
147;18582;186.418145964044;187.694982580236;
148;17647;187.694982580236;188.971819196429;
149;17060;188.971819196429;190.248655812621;
150;16983;190.248655812621;191.525492428813;
151;16506;191.525492428813;192.802329045005;
152;16427;192.802329045005;194.079165661197;
153;16119;194.079165661197;195.356002277389;
154;16101;195.356002277389;196.632838893581;
155;15934;196.632838893581;197.909675509773;
156;16297;197.909675509773;199.186512125965;
157;16503;199.186512125965;200.463348742157;
158;16769;200.463348742157;201.740185358349;
159;17498;201.740185358349;203.017021974542;
160;17997;203.017021974542;204.293858590734;
161;18233;204.293858590734;205.570695206926;
162;18175;205.570695206926;206.847531823118;
163;17124;206.847531823118;208.124368439310;
164;17124;208.124368439310;209.401205055502;
165;16371;209.401205055502;210.678041671694;
166;15994;210.678041671694;211.954878287886;
167;15826;211.954878287886;213.231714904078;
168;15353;213.231714904078;214.508551520270;
169;15030;214.508551520270;215.785388136462;
170;14529;215.785388136462;217.062224752654;
171;14654;217.062224752654;218.339061368847;
172;13992;218.339061368847;219.615897985039;
173;14194;219.615897985039;220.892734601231;
174;14305;220.892734601231;222.169571217423;
